unit_no,unit_title,page_range,subtopic_title,activity_type,page_no,learning_outcome_snippet
1,Mathematics,1-78,Introduction and identification of Green colour,Introduction,22,Introduction and identification of Green colour
1,Mathematics,1-78,"Introduction of two digit numbers (19,20,21)",Introduction,23,"Introduction of two digit numbers (19,20,21)"
1,Mathematics,1-78,Practice of counting in sequence 1-20,Practice,24,Practice of counting in sequence 1-20
1,Mathematics,1-78,Review of counting in sequence 1-20,Review,25,Review of counting in sequence 1-20
1,Mathematics,1-78,"Introduction of two digit numbers (22,23,24)",Introduction,26,"Introduction of two digit numbers (22,23,24)"
1,Mathematics,1-78,"Introduction of two digit numbers (25,26,27)",Introduction,27,"Introduction of two digit numbers (25,26,27)"
1,Mathematics,1-78,"Introduction and identification of ""Heavy"" and ""light""",Introduction,28,"Introduction and identification of ""Heavy"" and ""light"""
1,Mathematics,1-78,Introduction and identification of Purple colour,Introduction,29,Introduction and identification of Purple colour
1,Mathematics,1-78,Introduction and identification of Orange colour,Introduction,30,Introduction and identification of Orange colour
1,Mathematics,1-78,Identification of colours,Identification,31,Identification of colours
1,Mathematics,1-78,"Introduction of two digit numbers (28,29,30)",Introduction,32,"Introduction of two digit numbers (28,29,30)"
1,Mathematics,1-78,Practice of counting in sequence (21-30),Practice,33,Practice of counting in sequence (21-30)
1,Mathematics,1-78,"Concept of ""thin"" and ""thick""",Introduction,34,"Concept of ""thin"" and ""thick"""
1,Mathematics,1-78,"To make orange, green and purple colours",Introduction,35,"To make orange, green and purple colours"
1,Mathematics,1-78,Concept of tens and units,Introduction,36,Concept of tens and units
1,Mathematics,1-78,Introduction of numbers (10-29),Introduction,37,Introduction of numbers (10-29)
1,Mathematics,1-78,Introduction of numbers (30-49),Introduction,38,Introduction of numbers (30-49)
1,Mathematics,1-78,Introduction of numbers (0-49),Introduction,39,Introduction of numbers (0-49)
1,Mathematics,1-78,Introduction of number 50,Introduction,40,Introduction of number 50
1,Mathematics,1-78,Practice and review of numbers (1-50),Review,41,Practice and review of numbers (1-50)
1,Mathematics,1-78,Introduction of numbers in words,Introduction,42,Introduction of numbers in words
1,Mathematics,1-78,Concept of solid shapes,Introduction,43,Concept of solid shapes
1,Mathematics,1-78,Concept of matching the shapes,Introduction,44,Concept of matching the shapes
1,Mathematics,1-78,Identification of solid shapes.,Identification,45,Identification of solid shapes.
1,Mathematics,1-78,Concept of flat shapes,Introduction,46,Concept of flat shapes
1,Mathematics,1-78,Identification of flat shapes.,Identification,47,Identification of flat shapes.
1,Mathematics,1-78,"Concept of ""near"" and ""far""",Introduction,48,"Concept of ""near"" and ""far"""
1,Mathematics,1-78,"Concept of ""up"" and ""down""",Introduction,49,"Concept of ""up"" and ""down"""
1,Mathematics,1-78,"Concept of ""above"" and ""below""",Introduction,50,"Concept of ""above"" and ""below"""
1,Mathematics,1-78,"Concept of ""inside"" and ""outside""",Introduction,51,"Concept of ""inside"" and ""outside"""
1,Mathematics,1-78,"Concept of ""left"" and ""right""",Introduction,52,"Concept of ""left"" and ""right"""
1,Mathematics,1-78,"To identify more, less or equal objects.",Introduction,53,"To identify more, less or equal objects."
1,Mathematics,1-78,introduction of addition,Introduction,54,introduction of addition
1,Mathematics,1-78,Concept of addition,Introduction,55,Concept of addition
1,Mathematics,1-78,Concept of addition,Introduction,56,Concept of addition
1,Mathematics,1-78,Concept of addition,Introduction,57,Concept of addition
1,Mathematics,1-78,Concept of addition,Introduction,58,Concept of addition
1,Mathematics,1-78,Introduction of coins and currency notes,Introduction,59,Introduction of coins and currency notes
1,Mathematics,1-78,Introduction of currency notes,Introduction,60,Introduction of currency notes
1,Mathematics,1-78,Practice of addition of currency,Practice,61,Practice of addition of currency
1,Mathematics,1-78,Practice of addition of currency,Practice,62,Practice of addition of currency
1,Mathematics,1-78,Practice of addition of currency,Practice,63,Practice of addition of currency
1,Mathematics,1-78,Concept of subtraction,Introduction,64,Concept of subtraction
1,Mathematics,1-78,Practice of subtraction,Practice,65,Practice of subtraction
1,Mathematics,1-78,Practice of subtraction,Practice,66,Practice of subtraction
1,Mathematics,1-78,Practice of subtraction,Practice,67,Practice of subtraction
1,Mathematics,1-78,Practice of subtraction,Practice,68,Practice of subtraction
1,Mathematics,1-78,Practice of subtraction,Practice,69,Practice of subtraction
1,Mathematics,1-78,Introduction of number in words (one-ten),Introduction,70,Introduction of number in words (one-ten)
1,Mathematics,1-78,Introduction of number in words (one-ten),Introduction,71,Introduction of number in words (one-ten)
1,Mathematics,1-78,Identification of numbers in words (one-ten),Identification,72,Identification of numbers in words (one-ten)
1,Mathematics,1-78,Introduction of time,Introduction,73,Introduction of time
1,Mathematics,1-78,Identification of time,Identification,74,Identification of time
1,Mathematics,1-78,Introduction of time,Introduction,75,Introduction of time
1,Mathematics,1-78,Identification of time,Identification,76,Identification of time
1,Mathematics,1-78,To identify the times of th day,Introduction,77,To identify the times of th day
1,Mathematics,1-78,Introduction of poem,Introduction,78,Introduction of poem
